frame,time_s,left_y,right_y,left_on_ground,right_on_ground,height_diff,bonus_flag
263,10.52,328,333,0,0,5,0
264,10.56,328,333,0,0,5,0
265,10.6,329,333,0,0,4,0
266,10.64,329,333,0,0,4,0
267,10.68,329,333,0,0,4,0
268,10.72,329,333,0,0,4,0
269,10.76,329,333,0,0,4,0
270,10.8,327,333,0,0,6,0
271,10.84,326,333,0,0,7,0
272,10.88,325,333,0,0,8,0
273,10.92,325,333,0,0,8,0
274,10.96,325,332,0,0,7,0
275,11.0,325,332,0,0,7,0
276,11.04,325,332,0,0,7,0
277,11.08,325,332,0,0,7,0
278,11.12,325,332,0,0,7,0
279,11.16,325,332,0,0,7,0
280,11.2,325,332,0,0,7,0
281,11.24,325,332,0,0,7,0
282,11.28,325,332,0,0,7,0
283,11.32,325,332,0,0,7,0
284,11.36,325,332,0,0,7,0
285,11.4,325,332,0,0,7,0
286,11.44,325,332,0,0,7,0
287,11.48,325,332,0,0,7,0
288,11.52,325,332,0,0,7,0
289,11.56,325,332,0,0,7,0
290,11.6,325,332,0,0,7,0
291,11.64,325,332,0,0,7,0
292,11.68,325,332,0,0,7,0
293,11.72,325,332,0,0,7,0
294,11.76,325,332,0,0,7,0
295,11.8,325,332,0,0,7,0
296,11.84,325,332,0,0,7,0
297,11.88,325,332,0,0,7,0
298,11.92,325,332,0,0,7,0
299,11.96,325,332,0,0,7,0
300,12.0,325,332,0,0,7,0
301,12.04,325,332,0,0,7,0
302,12.08,325,332,0,0,7,0
303,12.12,326,332,0,0,6,0
304,12.16,326,332,0,0,6,0
305,12.2,326,332,0,0,6,0
306,12.24,326,332,0,0,6,0
307,12.28,326,332,0,0,6,0
308,12.32,326,332,0,0,6,0
309,12.36,326,332,0,0,6,0
310,12.4,326,332,0,0,6,0
311,12.44,326,332,0,0,6,0
312,12.48,326,332,0,0,6,0
313,12.52,326,332,0,0,6,0
314,12.56,326,332,0,0,6,0
315,12.6,326,332,0,0,6,0
316,12.64,326,332,0,0,6,0
317,12.68,326,332,0,0,6,0
318,12.72,326,332,0,0,6,0
319,12.76,326,332,0,0,6,0
320,12.8,326,332,0,0,6,0
321,12.84,326,332,0,0,6,0
322,12.88,326,332,0,0,6,0
323,12.92,326,332,0,0,6,0
324,12.96,326,332,0,0,6,0
325,13.0,326,332,0,0,6,0
326,13.04,326,332,0,0,6,0
327,13.08,326,332,0,0,6,0
328,13.12,326,332,0,0,6,0
329,13.16,326,332,0,0,6,0
330,13.2,326,332,0,0,6,0
331,13.24,326,332,0,0,6,0
332,13.28,326,332,0,0,6,0
333,13.32,326,332,0,0,6,0
334,13.36,326,332,0,0,6,0
335,13.4,326,332,0,0,6,0
336,13.44,326,332,0,0,6,0
